ID,X,Y,LogPos
1022,487,384,J101-Passage-24
1023,238,420,J101-Passage-25
1024,274,420,J101-Passage-26
1025,309,420,J101-Passage-27
1026,345,420,J101-Passage-28
1027,380,420,J101-Passage-29
1028,416,420,J101-Passage-30
1029,451,420,J101-Passage-31
1030,487,420,J101-Passage-32
1031,238,455,J101-Passage-33
1032,274,455,J101-Passage-34
1033,309,455,J101-Passage-35
1034,345,455,J101-Passage-36
1035,380,455,J101-Passage-37
1036,416,455,J101-Passage-38
1037,451,455,J101-Passage-39
1038,487,455,J101-Passage-40
1039,523,455,J101-Passage-41
1040,558,455,J101-Passage-42
1041,593,455,J101-Passage-43
1042,629,455,J101-Passage-44
1043,451,490,J101-Passage-45
1044,487,490,J101-Passage-46
1045,522,490,J101-Passage-47
1046,558,490,J101-Passage-48
1047,593,490,J101-Passage-49
1048,629,490,J101-Passage-50
1049,464,526,J116-Studielandskap-1
1050,500,526,J116-Studielandskap-2
1051,535,526,J116-Studielandskap-3
1052,571,526,J116-Studielandskap-4
1053,606,526,J116-Studielandskap-5
1054,642,526,J116-Studielandskap-6
1055,464,561,J116-Studielandskap-7
1056,500,561,J116-Studielandskap-8
1057,535,561,J116-Studielandskap-9
1058,571,561,J116-Studielandskap-10
1059,606,561,J116-Studielandskap-11
1060,642,561,J116-Studielandskap-12
1061,464,597,J116-Studielandskap-13
1062,500,597,J116-Studielandskap-14
1063,535,597,J116-Studielandskap-15
1064,571,597,J116-Studielandskap-16
1065,606,597,J116-Studielandskap-17
1066,642,597,J116-Studielandskap-18
1067,464,632,J116-Studielandskap-19
1068,500,632,J116-Studielandskap-20
1069,535,632,J116-Studielandskap-21
1070,571,632,J116-Studielandskap-22
1071,606,632,J116-Studielandskap-23
1072,642,632,J116-Studielandskap-24
1073,464,668,J116-Studielandskap-25
1074,500,668,J116-Studielandskap-26
1075,535,668,J116-Studielandskap-27
1076,571,668,J116-Studielandskap-28
1077,606,668,J116-Studielandskap-29
1078,642,668,J116-Studielandskap-30
1079,464,703,J116-Studielandskap-31
1080,500,703,J116-Studielandskap-32
1081,535,703,J116-Studielandskap-33
1082,571,703,J116-Studielandskap-34
1083,606,703,J116-Studielandskap-35
1084,642,703,J116-Studielandskap-36
1085,464,731,J116-Studielandskap-37
1086,500,731,J116-Studielandskap-38
1087,535,731,J116-Studielandskap-39
1088,571,731,J116-Studielandskap-40
1089,606,731,J116-Studielandskap-41
1090,642,731,J116-Studielandskap-42
1091,464,774,J116-Studielandskap-43
1092,500,774,J116-Studielandskap-44
1093,535,774,J116-Studielandskap-45
1094,571,774,J116-Studielandskap-46
1095,606,774,J116-Studielandskap-47
1096,642,774,J116-Studielandskap-48
1097,464,810,J116-Studielandskap-49
1098,500,810,J116-Studielandskap-50
1099,535,810,J116-Studielandskap-51
1100,571,810,J116-Studielandskap-52
1101,606,810,J116-Studielandskap-53
1102,642,810,J116-Studielandskap-54
1103,464,845,J116-Studielandskap-55
1104,500,845,J116-Studielandskap-56
1105,535,845,J116-Studielandskap-57
1106,571,845,J116-Studielandskap-58
1107,606,845,J116-Studielandskap-59
1108,642,845,J116-Studielandskap-60
1109,464,881,J116-Studielandskap-61
1110,500,881,J116-Studielandskap-62
1111,535,881,J116-Studielandskap-63
1112,571,881,J116-Studielandskap-64
1113,606,881,J116-Studielandskap-65
1114,642,881,J116-Studielandskap-66
1115,464,916,J116-Studielandskap-67
1116,500,916,J116-Studielandskap-68
1117,535,916,J116-Studielandskap-69
1118,571,916,J116-Studielandskap-70
1119,606,916,J116-Studielandskap-71
1120,642,916,J116-Studielandskap-72
1121,464,952,J116-Studielandskap-73
1122,500,952,J116-Studielandskap-74
1123,535,952,J116-Studielandskap-75
1124,571,952,J116-Studielandskap-76
1125,606,952,J116-Studielandskap-77
1126,642,952,J116-Studielandskap-78
1127,464,987,J116-Studielandskap-79
1128,500,987,J116-Studielandskap-80
1129,535,987,J116-Studielandskap-81
1130,571,987,J116-Studielandskap-82
1131,606,987,J116-Studielandskap-83
1132,642,987,J116-Studielandskap-84
1133,606,1022,J116-Studielandskap-85
1134,642,1022,J116-Studielandskap-86
1135,429,916,J116-Studielandskap-87
1136,429,952,J116-Studielandskap-88
1137,429,987,J116-Studielandskap-89
