PosX,PosY,PosZ,BSSID,RSSI
1412,154,0,48:8b:0a:cb:69:2e,-44.0
1412,225,0,48:8b:0a:cb:69:2d,-44.0
1180,822,0,48:8b:0a:ca:a8:0e,-44.0
1180,822,0,48:8b:0a:ca:a8:0d,-44.0
1180,822,0,48:8b:0a:ca:a8:0c,-44.0
1180,822,0,48:8b:0a:ca:a8:0b,-44.0
1519,261,0,48:8b:0a:cb:69:2c,-44.0
1519,261,0,48:8b:0a:cb:69:2b,-44.0
526,1076,0,70:b3:17:8e:1c:04,-44.0
1483,225,0,48:8b:0a:cb:69:23,-44.0
1483,225,0,48:8b:0a:cb:69:21,-44.0
348,1076,0,70:b3:17:8e:1c:0e,-44.0
348,1076,0,70:b3:17:8e:1c:0d,-44.0
1554,296,0,48:8b:0a:cb:69:2b,-44.0
1554,296,0,48:8b:0a:cb:69:2c,-44.0
1412,154,0,48:8b:0a:cb:69:2b,-44.0
1554,296,0,48:8b:0a:cb:69:2e,-44.0
615,336,0,48:8b:0a:cb:67:ef,-44.0
1483,225,0,48:8b:0a:cb:69:20,-44.0
348,1076,0,70:b3:17:8e:1c:0c,-44.0
348,1076,0,70:b3:17:8e:1c:0b,-44.0
455,1076,0,70:b3:17:8e:1c:0e,-44.1
455,1076,0,70:b3:17:8e:1c:0b,-44.2
455,1040,0,70:b3:17:8e:1c:0f,-44.36363636363637
455,1040,0,70:b3:17:8e:1c:0b,-44.36363636363637
526,1076,0,70:b3:17:8e:1c:0d,-44.4
526,1076,0,70:b3:17:8e:1c:0e,-44.4
526,1076,0,70:b3:17:8e:1c:0b,-44.4
1278,1202,0,78:bc:1a:37:7e:0c,-44.44444444444444
1278,1202,0,78:bc:1a:37:7e:0d,-44.44444444444444
1322,787,0,48:8b:0a:ca:a8:0f,-44.57142857142857
580,229,0,48:8b:0a:cb:67:eb,-44.625
526,1147,0,70:b3:17:8e:1c:0f,-44.625
1278,1273,0,78:bc:1a:37:7e:0d,-44.63636363636363
1278,1273,0,78:bc:1a:37:7e:0c,-44.63636363636363
455,1111,0,70:b3:17:8e:1c:0e,-44.666666666666664
455,1111,0,70:b3:17:8e:1c:0d,-44.666666666666664
455,1111,0,70:b3:17:8e:1c:0c,-44.666666666666664
419,1040,0,70:b3:17:8e:1c:0b,-44.7
419,1040,0,70:b3:17:8e:1c:0c,-44.7
419,1040,0,70:b3:17:8e:1c:0e,-44.7
1464,858,0,48:8b:0a:ca:a8:0c,-44.77777777777778
1464,858,0,48:8b:0a:ca:a8:0b,-44.77777777777778
1278,1202,0,78:bc:1a:37:7e:0f,-44.77777777777778
746,454,0,48:8b:0a:cb:67:ef,-44.8
1464,858,0,48:8b:0a:ca:a8:0d,-44.888888888888886
1464,858,0,48:8b:0a:ca:a8:0e,-44.888888888888886
1286,822,0,48:8b:0a:ca:a8:0f,-44.9
1519,367,0,48:8b:0a:cb:69:2b,-44.90909090909091
1180,751,0,48:8b:0a:ca:a8:0f,-44.90909090909091
1278,1202,0,78:bc:1a:37:7e:0e,-45.0
1483,83,0,48:8b:0a:cb:69:2c,-45.0
1180,787,0,48:8b:0a:ca:a8:0f,-45.0
1464,787,0,48:8b:0a:ca:a8:0f,-45.0
526,1076,0,70:b3:17:8e:1c:03,-45.0
1448,332,0,48:8b:0a:cb:69:2e,-45.0
1136,1096,0,78:bc:1a:37:7e:0f,-45.0
1377,119,0,48:8b:0a:cb:69:2c,-45.0
1448,332,0,48:8b:0a:cb:69:2d,-45.0
1483,83,0,48:8b:0a:cb:69:2e,-45.0
1483,119,0,48:8b:0a:cb:69:2b,-45.0
1483,83,0,48:8b:0a:cb:69:2b,-45.0
526,1076,0,70:b3:17:8e:1c:02,-45.0
1136,1060,0,78:bc:1a:37:7e:0f,-45.0
1314,1096,0,78:bc:1a:37:7e:0e,-45.0
1314,1096,0,78:bc:1a:37:7e:0d,-45.0
1286,751,0,48:8b:0a:ca:a8:0b,-45.0
1278,1238,0,78:bc:1a:37:7e:0f,-45.0
1278,1238,0,78:bc:1a:37:7e:0e,-45.0
1286,751,0,48:8b:0a:ca:a8:0d,-45.0
1286,751,0,48:8b:0a:ca:a8:0e,-45.0
1278,1238,0,78:bc:1a:37:7e:0b,-45.0
1180,822,0,48:8b:0a:ca:a8:0f,-45.0
1519,261,0,48:8b:0a:cb:69:2f,-45.0
1519,261,0,48:8b:0a:cb:69:2d,-45.0
1428,822,0,48:8b:0a:ca:a8:0e,-45.0
1377,190,0,48:8b:0a:cb:69:2c,-45.0
1519,332,0,48:8b:0a:cb:69:2f,-45.0
1519,332,0,48:8b:0a:cb:69:2d,-45.0
1519,367,0,48:8b:0a:cb:69:2e,-45.0
1519,296,0,48:8b:0a:cb:69:2f,-45.0
1314,1131,0,78:bc:1a:37:7e:0b,-45.0
580,229,0,48:8b:0a:cb:67:ec,-45.0
1314,1131,0,78:bc:1a:37:7e:0d,-45.0
686,87,0,48:8b:0a:cb:67:ec,-45.0
1377,119,0,48:8b:0a:cb:69:2e,-45.0
1519,296,0,48:8b:0a:cb:69:2d,-45.0
686,87,0,48:8b:0a:cb:67:ed,-45.0
1314,1131,0,78:bc:1a:37:7e:0e,-45.0
686,87,0,48:8b:0a:cb:67:ee,-45.0
580,229,0,48:8b:0a:cb:67:ed,-45.0
1377,190,0,48:8b:0a:cb:69:2e,-45.0
1185,912,0,48:8b:0a:ca:a8:0e,-45.0
1185,912,0,48:8b:0a:ca:a8:0d,-45.0
1185,912,0,48:8b:0a:ca:a8:0c,-45.0
1185,912,0,48:8b:0a:ca:a8:0b,-45.0
1180,858,0,48:8b:0a:ca:a8:0f,-45.0
580,229,0,48:8b:0a:cb:67:ee,-45.0
1448,296,0,48:8b:0a:cb:69:2d,-45.0
1483,119,0,48:8b:0a:cb:69:2c,-45.0
1448,261,0,48:8b:0a:cb:69:2b,-45.0
1393,787,0,48:8b:0a:ca:a8:0f,-45.0
1215,751,0,48:8b:0a:ca:a8:0d,-45.0
1448,190,0,48:8b:0a:cb:69:2b,-45.0
1215,751,0,48:8b:0a:ca:a8:0e,-45.0
1554,296,0,48:8b:0a:cb:69:2d,-45.0
1172,1060,0,78:bc:1a:37:7e:00,-45.0
1357,787,0,48:8b:0a:ca:a8:0f,-45.0
1251,822,0,48:8b:0a:ca:a8:0f,-45.0
1554,332,0,48:8b:0a:cb:69:2d,-45.0
1251,787,0,48:8b:0a:ca:a8:0f,-45.0
1448,261,0,48:8b:0a:cb:69:2c,-45.0
1256,912,0,48:8b:0a:ca:a8:0b,-45.0
1314,1096,0,78:bc:1a:37:7e:0b,-45.0
1322,751,0,48:8b:0a:ca:a8:0b,-45.0
1377,154,0,48:8b:0a:cb:69:2e,-45.0
1136,1167,0,78:bc:1a:37:7e:0f,-45.0
1377,225,0,48:8b:0a:cb:69:2e,-45.0
1448,261,0,48:8b:0a:cb:69:2e,-45.0
1554,367,0,48:8b:0a:cb:69:2d,-45.0
1215,787,0,48:8b:0a:ca:a8:0f,-45.0
1377,154,0,48:8b:0a:cb:69:2c,-45.0
1483,154,0,48:8b:0a:cb:69:2e,-45.0
1215,751,0,48:8b:0a:ca:a8:0b,-45.0
1256,912,0,48:8b:0a:ca:a8:0c,-45.0
1251,751,0,48:8b:0a:ca:a8:0e,-45.0
1322,751,0,48:8b:0a:ca:a8:0d,-45.0
651,336,0,48:8b:0a:cb:67:ec,-45.0
651,336,0,48:8b:0a:cb:67:ed,-45.0
